Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Smugglers' Notch Resort,Vermont,3640,7.8674885686991285,0,0.0,0,0,0,0,6,2,8,4.3694478524670215,1.9459101490553132,1.3862943611198906,6.90875477931522,5.262690188904886,136.0,4.1588830833596715,5.638354669333745,79.0,79.0,135.0,0.0,2
Stowe Mountain Resort,Vermont,4395,7.766840537085513,2,0.0,0,0,4,2,2,2,12,4.762173934797756,0.0,1.547562508716013,6.186208623900494,5.963579343618446,155.0,4.465908118654584,5.752572638825633,57.91695652173913,79.0,137.0,0.0,2
Stratton Mountain,Vermont,3875,7.602900462204755,1,0.0,4,1,2,1,1,1,11,4.605170185988092,1.6094379124341003,1.3862943611198906,6.508769136971682,6.163314804034641,155.0,4.07753744390572,5.198497031265826,57.91695652173913,79.0,160.0,0.0,2
Sugarbush,Vermont,4083,7.8636512654486515,0,0.0,0,5,5,2,1,3,16,4.718498871295094,1.6094379124341003,1.3862943611198906,6.366470447731438,6.008813185442595,150.0,4.127134385045092,5.5254529391317835,119.0,119.0,156.0,0.0,2
Suicide Six,Vermont,1200,6.478509642208569,0,0.0,0,0,0,0,2,1,3,3.2188758248682006,0.0,0.3364722366212129,4.61512051684126,3.9318256327243257,100.0,4.454347296253507,4.51085950651685,45.0,75.0,106.0,0.0,0
Bryce Resort,Virginia,1750,6.2166061010848646,0,0.0,0,0,1,0,1,5,7,2.1972245773362196,0.0,0.3364722366212129,3.258096538021482,3.258096538021482,100.0,4.007333185232471,3.4339872044851463,43.0,68.0,95.0,3.044522437723423,0
Massanutten,Virginia,2925,7.01301578963963,0,0.0,0,0,3,1,0,3,7,2.6390573296152584,1.0986122886681098,0.5877866649021191,4.2626798770413155,4.2626798770413155,68.0,3.8501476017100584,3.58351893845611,57.91695652173913,68.0,97.0,4.2626798770413155,2
The Homestead Ski Area,Virginia,3200,6.55250788703459,0,0.0,0,0,0,0,1,1,2,2.3978952727983707,0.0,0.6931471805599453,3.828641396489095,4.61512051684126,91.0,4.110873864173311,3.9318256327243257,57.91695652173913,68.0,100.0,0.0,2
Wintergreen Resort,Virginia,3515,6.911747300251674,0,0.0,2,0,1,1,1,0,5,3.332204510175204,1.0986122886681098,0.6931471805599453,4.867534450455582,4.867534450455582,107.0,3.8066624897703196,3.5553480614894135,59.0,68.0,121.0,3.828641396489095,2
49 Degrees North,Washington,5774,7.524021415206125,0,0.0,0,0,1,0,5,1,7,4.499809670330265,0.6931471805599453,1.0986122886681098,7.75190533307861,0.0,101.0,3.8918202981106265,5.71042701737487,62.0,62.0,135.0,5.5254529391317835,2
Alpental,Washington,5420,7.732369222284388,0,0.0,0,1,0,0,3,1,5,3.2188758248682006,0.0,0.7884573603642703,6.716594773520978,0.0,120.0,3.970291913552122,6.061456918928017,57.91695652173913,62.0,144.0,4.804021044733257,2
Bluewood,Washington,5670,7.026426808699636,0,0.0,0,0,0,2,0,1,3,3.2188758248682006,1.0986122886681098,1.0986122886681098,5.87493073085203,0.0,70.0,3.713572066704308,5.707110264748875,42.0,47.0,110.0,0.0,2
Crystal Mountain,Washington,7012,8.03947991910045,1,0.0,2,2,1,2,2,0,10,4.060443010546419,0.6931471805599453,1.252762968495368,7.8636512654486515,2.3978952727983707,115.10394265232976,4.060443010546419,6.18826412308259,99.0,99.0,120.0530035335689,0.0,1
Mission Ridge,Washington,6820,7.719129840906732,0,0.0,0,1,0,0,3,2,6,4.060443010546419,1.3862943611198906,0.5877866649021191,7.601402334583733,4.204692619390966,104.0,3.9889840465642745,5.303304908059076,57.91695652173913,99.0,96.0,6.2166061010848646,1
Mt. Baker,Washington,5000,7.313886831633462,0,0.0,0,0,8,0,0,2,10,3.6635616461296463,0.0,0.5306282510621704,6.90875477931522,0.0,143.0,4.204692619390966,6.498282149476434,53.75,60.01,165.0,0.0,2
Mt. Spokane Ski and Snowboard Park,Washington,5889,7.601402334583733,0,0.0,0,0,0,1,5,1,7,3.970291913552122,1.3862943611198906,0.47000362924573563,7.4413203897176174,0.0,100.0,4.406719247264253,5.707110264748875,45.0,59.0,103.0,3.828641396489095,2
Stevens Pass Resort,Washington,5845,7.496097345175956,0,0.0,0,3,0,4,3,0,10,3.970291913552122,1.6094379124341003,0.6931471805599453,7.026426808699636,0.0,116.0,4.418840607796598,6.133398042996649,57.91695652173913,59.0,145.0,6.111467339502679,2
The Summit at Snoqualmie,Washington,3865,6.933423025730715,0,0.0,0,3,3,4,10,7,27,4.727387818712341,1.791759469228055,0.5877866649021191,7.598399329323964,1.791759469228055,120.0,4.418840607796598,6.061456918928017,85.0,95.0,140.0,6.295266001439646,2
White Pass,Washington,6550,7.62608275807238,0,0.0,0,2,1,1,2,2,8,3.828641396489095,1.0986122886681098,1.252762968495368,7.246368080102461,3.4339872044851463,148.0,4.219507705176107,5.993961427306569,69.0,69.0,144.0,4.51085950651685,1
Canaan Valley Resort,West Virginia,4280,6.7464121285733745,0,0.0,0,0,1,2,0,1,4,3.871201010907891,0.6931471805599453,0.7884573603642703,4.564348191467836,4.330733340286331,115.10394265232976,3.8918202981106265,5.081404364984463,52.0,68.0,93.0,0.0,2
Snowshoe Mountain Resort,West Virginia,4848,7.313886831633462,0,0.0,0,3,2,6,0,3,14,4.110873864173311,1.791759469228055,0.9162907318741551,5.552959584921617,5.552959584921617,125.0,3.8501476017100584,5.198497031265826,70.0,87.0,138.0,4.465908118654584,2
Timberline Four Seasons,West Virginia,4265,6.90875477931522,0,0.0,0,0,0,2,1,1,4,3.713572066704308,0.6931471805599453,1.0986122886681098,4.61512051684126,4.61512051684126,97.0,3.6375861597263857,5.017279836814924,72.0,92.0,115.0,3.332204510175204,2
Winterplace Ski Resort,West Virginia,3600,6.403574197934815,0,0.0,0,0,2,3,2,2,9,3.332204510175204,1.0986122886681098,0.7884573603642703,4.51085950651685,4.51085950651685,120.0,3.6109179126442243,4.61512051684126,56.0,72.0,120.0,4.31748811353631,2
Alpine Valley Resort,Wisconsin,1040,5.963579343618446,0,0.0,0,3,0,3,1,5,12,3.091042453358316,1.3862943611198906,0.1823215567939546,4.51085950651685,4.51085950651685,100.0,4.02535169073515,4.394449154672439,56.0,65.0,120.0,4.51085950651685,0
Bruce Mound,Wisconsin,1375,5.929589143389895,0,0.0,0,0,0,1,0,4,5,2.5649493574615367,1.0986122886681098,0.4054651081081644,3.713572066704308,3.4339872044851463,42.0,4.276666119016055,3.7612001156935624,33.0,25.0,42.0,3.4339872044851463,0
Cascade Mountain,Wisconsin,1280,6.133398042996649,0,0.0,0,2,2,3,2,3,12,3.871201010907891,1.6094379124341003,0.7419373447293773,5.170483995038151,5.170483995038151,120.0,4.060443010546419,4.04305126783455,59.0,64.0,120.0,0.0,0
Christie Mountain,Wisconsin,1650,5.860786223465865,0,0.0,0,0,0,0,1,5,6,3.4339872044851463,1.6094379124341003,0.5877866649021191,3.828641396489095,3.7376696182833684,92.0,3.784189633918261,3.8918202981106265,28.0,38.0,120.0,3.58351893845611,0
Christmas Mountain,Wisconsin,1250,5.5254529391317835,0,0.0,0,0,1,0,0,2,3,2.833213344056216,0.0,0.3364722366212129,3.713572066704308,3.713572066704308,75.0,3.9318256327243257,3.044522437723423,57.91695652173913,38.0,70.0,3.713572066704308,0
Devils Head,Wisconsin,995,6.2166061010848646,0,0.0,0,0,3,1,6,2,12,3.332204510175204,0.6931471805599453,0.6931471805599453,5.564520407322694,5.564520407322694,110.0,3.8918202981106265,3.828641396489095,45.0,65.0,135.0,5.303304908059076,0
Grand Geneva,Wisconsin,1086,5.356586274672012,0,0.0,0,0,0,0,3,3,6,3.044522437723423,0.6931471805599453,0.1823215567939546,3.4339872044851463,3.4339872044851463,90.0,3.258096538021482,3.258096538021482,28.0,49.0,93.0,3.4339872044851463,0
Granite Peak Ski Area,Wisconsin,1942,6.55250788703459,0,0.0,1,2,0,2,0,2,7,4.330733340286331,1.6094379124341003,0.47000362924573563,5.3981627015177525,5.081404364984463,136.0,4.418840607796598,4.330733340286331,92.0,92.0,135.0,5.303304908059076,0
Little Switzerland,Wisconsin,1269,5.303304908059076,0,0.0,0,0,0,0,4,4,8,2.9444389791664403,1.3862943611198906,0.6931471805599453,3.9318256327243257,3.9318256327243257,115.10394265232976,4.169089182157483,4.330733340286331,33.0,41.0,120.0530035335689,3.9318256327243257,0
Mount La Crosse,Wisconsin,1110,6.248042874508429,0,0.0,0,0,0,0,3,1,4,2.995732273553991,0.6931471805599453,0.3364722366212129,4.61512051684126,4.61512051684126,115.0,4.110873864173311,3.713572066704308,56.0,56.0,100.0,4.51085950651685,0
Nordic Mountain,Wisconsin,1137,5.583496308781699,0,0.0,0,0,0,1,1,5,7,2.9444389791664403,1.6094379124341003,0.6931471805599453,4.110873864173311,4.110873864173311,68.0,3.784189633918261,4.394449154672439,57.91695652173913,47.0,90.0,4.110873864173311,0
Sunburst,Wisconsin,1100,5.3706380281276624,0,0.0,0,0,0,0,3,6,9,2.6390573296152584,1.6094379124341003,0.4054651081081644,3.6375861597263857,3.6375861597263857,99.0,4.0943445622221,3.9318256327243257,33.0,44.0,115.0,3.6375861597263857,0
